Name,Age,Nominating party,Political party,Votes 2014,Percentual gain 2014,Ballot rank,Final rank,Mandate
Nováková Daniela,47,NK,BEZPP,187.0,2.36,9,-,-
Novotný Jaroslav Bc.,25,ČSSD,ČSSD,2795.0,2.4,34,29,-
Novotný Ondřej,28,ODS,ODS,1562.0,2.49,26,23,-
Novotný Petr Ing.,52,VPM,BEZPP,419.0,1.77,32,-,-
Nový Zdeněk Ing.,33,Svobodní,BEZPP,616.0,2.45,24,-,-
Nozar Lukáš Bc.,34,ČSSD,ČSSD,3049.0,2.61,26,21,-
Nožička Jan MUDr. Ph.D.,49,KDU-ČSL,BEZPP,1701.0,2.79,14,13,-
Nymsa Jan,28,HRAD.PATRIOTI,HRAD.PATRIOTI,502.0,2.68,5,-,-
Obšilová Jindřiška,59,NK,BEZPP,186.0,2.35,30,-,-
Odvárková Šárka,31,HRAD.PATRIOTI,BEZPP,472.0,2.52,25,-,-
Ondráček Vlastimil,57,HDK,BEZPP,7084.0,2.8,10,10,*
Pačesná Daniela RNDr. Ph.D.,39,NK,BEZPP,927.0,2.89,12,-,-
Paděra František Bc. DiS.,30,NK,BEZPP,327.0,2.72,6,-,-
Paděrová Hana,51,NK,BEZPP,281.0,2.34,32,-,-
Paldus Martin,32,ODS,ODS,1388.0,2.21,35,32,-
Pálka Jiří Ing.,67,ANO,BEZPP,3616.0,2.58,26,20,-
Pártl Matěj,24,KDU-ČSL,KDU-ČSL,1439.0,2.36,21,19,-
Pastuszek Rudolf,69,KDU-ČSL,KDU-ČSL,1420.0,2.33,28,26,-
Patera Tomáš,42,TOP 09,TOP 09,1831.0,2.77,5,4,-
Paulů Zuzana Mgr.,62,HDK,BEZPP,6429.0,2.54,29,17,-
Pavlata Jaroslav MUDr. Ph.D.,52,KDU-ČSL,BEZPP,1614.0,2.65,25,23,-
Pavlíček Jiří Ing.,59,HDK,BEZPP,6674.0,2.64,21,9,-
Pečenka Václav,61,VPM,VPM,458.0,1.93,17,-,-
Pechánek Jan,21,NK,BEZPP,680.0,2.12,32,-,-
Pechánek Pavel Ing.,47,NK,BEZPP,1054.0,3.29,3,-,-
Peremský Lubor Ing.,43,ANO,ANO,3899.0,2.78,13,7,-
Petera Josef,42,BPI,BEZPP,340.0,4.29,1,-,-
